2024-09-09,Masculine Based,The difference now.,91,Edrian K
2024-09-09,Masculine Based,Misgender? So Science is wrong?,28,Edrian K
2024-09-09,Masculine Based,This is more accurate now.,25,Edrian K
2024-09-09,Barefoot Pregnant,Save all not one but all.,53,John
2024-09-09,Barefoot Pregnant,Only trump can save us!,47,John
2024-09-09,OneXOneY,Protect them.,12,Liz
2024-09-10,Masculine Based,How about this one?,142,Edrian K
2024-09-10,Masculine Based,Never give up the meat!,15,Edrian K
2024-09-10,OneXOneY,"K’s “real Election Day” strategy memorize, dodge, and insult. Meanwhile, Trump’s out here winning with genuine, straight-shooting answers.",18,Liz
2024-09-10,OneXOneY,Donald to Donald talk!!,18,Liz
2024-09-12,Masculine Based,What should we expect from Kamala?,179,Edrian K
2024-09-12,Masculine Based,"Well, This is kamala we're talking about.",126,Edrian K
2024-09-12,Masculine Based,People love Trump because he will risk his life just to fight for our country.,80,Edrian K
2024-09-12,Barefoot Pregnant,TAXATION IS THEFT. This is the way!,83,John
2024-09-12,Barefoot Pregnant,They can't compete if they don't cheat.,51,John
2024-09-12,Barefoot Pregnant,Kamala has a new idea to grab.,11,John
2024-09-12,OneXOneY,Bring it on!,23,Liz
2024-09-12,OneXOneY,"Denver’s new motto: Sheltering the world, while our own cities pay the price.",19,Liz
2024-09-13,Cool Christian Engineer 💡,"Trudeau can step down now, along with Zelensky. These leaders who are only thinking about wars instead of focusing on how to make peace and fix their countries. 🤦‍♂️",22,Jess
2024-09-13,Cool Christian Engineer 💡,He really hates Kamala.,14,Jess
2024-09-13,Cool Christian Engineer 💡,They really want to make life so much harder.,13,Jess
2024-09-13,Masculine Based,2024 is crazy.,51,Edrian K
2024-09-13,Masculine Based,Leftist hated this.,21,Edrian K
2024-09-13,Masculine Based,This is the future Kamala want!,12,Edrian K
2024-09-13,Barefoot Pregnant,She’s adding drama to her playlist! 🎶🚪,99,Liz
2024-09-13,Barefoot Pregnant,Do you still need her?,34,Liz
2024-09-14,Masculine Based,Taylor is a big joke.,86,Edrian K
2024-09-15,Cool Christian Engineer 💡,If the would-be assassin had a GoPro it indicates a troubling level of planning and intent.,50,Lynneth
2024-09-15,Cool Christian Engineer 💡,Absolutely.❤️,14,Lynneth
2024-09-16,Cool Christian Engineer 💡,"HOMESCHOOL THE KIDS, IT'S NO LONGER SAFE OUTSIDE.",114,Jess
2024-09-16,Cool Christian Engineer 💡,"They can't keep calling it a conspiracy because it always turns out to be true based on the evidence that’s coming out. It's all planned, and they're busted.",43,Jess
2024-09-16,Cool Christian Engineer 💡,"There’s no way it’s a coincidence and conspiracy, y’all just can’t claim it’s planned again.",41,Jess
2024-09-16,Masculine Based,They never trust the Science anymore.,74,Edrian K
2024-09-16,Masculine Based,Libs everyday.,28,Edrian K
2024-09-16,Barefoot Pregnant,And this!,16,Liz
2024-09-17,Cool Christian Engineer 💡,We should all know why.,66,Jess
2024-09-17,Cool Christian Engineer 💡,"⚠️⚠️⚠️HOMESCHOOL THE KIDS, THEY'RE NO LONGER SAFE OUTSIDE. ⚠️⚠️⚠️",58,Jess
2024-09-17,Cool Christian Engineer 💡,We all know why.,29,Jess
2024-09-17,Masculine Based,Kamala before going.,61,Edrian K
2024-09-17,Masculine Based,REGISTER AND VOTE FOR TRUMP!,50,Edrian K
2024-09-17,Masculine Based,Israel only job.,28,Edrian K
2024-09-17,OneXOneY,Another reason we need Trump’s strong leadership to clean house and keep America safe!,3,John
2024-09-18,Cool Christian Engineer 💡,We can also reduce the politicians who are making the country worse. It’s better if it starts with you. Step down now.,16,Jess
2024-09-18,Cool Christian Engineer 💡,"Hmmm... in short, they're planning for something, just like when Obama won in 2008.",6,Jess
2024-09-18,Cool Christian Engineer 💡,Uhm... BOTH!,2,Jess
2024-09-18,Masculine Based,She belong to this.,41,Edrian K
2024-09-18,Masculine Based,The party that wants to ban disinformation.,30,Edrian K
2024-09-18,Masculine Based,We must do it.,19,Edrian K
2024-09-18,Barefoot Pregnant,Things to worry about.,12,Liz
2024-09-19,Cool Christian Engineer 💡,"They're doing everything to stop Trump. Because of this, innocent lives are being affected too. Is this how they will take care of America and its citizens???",178,Jess
2024-09-19,Cool Christian Engineer 💡,"They will do ANYTHING just to stop him. Trump needs extreme security that will truly do their job to protect him. More importantly, God is on his side.",25,Jess
2024-09-19,Cool Christian Engineer 💡,"Here they are again, making life harder.",14,Jess
2024-09-19,Masculine Based,Newsom be like.,274,Edrian K
2024-09-19,Masculine Based,They need this box of pills.,41,Edrian K
2024-09-19,Masculine Based,They will never beat trump!,30,Edrian K
2024-09-19,Barefoot Pregnant,Trump’s got divine protection on speed dial.,14,Liz
2024-09-20,Cool Christian Engineer 💡,TRUMP ALWAYS SPEAKS THE TRUTH.,209,Jess
2024-09-20,Cool Christian Engineer 💡,"Here's a little reminder, folks!",156,Jess
2024-09-20,Cool Christian Engineer 💡,"Given all the attempts on his life, Trump deserves every possible protection available to him. May God protect him even more.",28,Jess
2024-09-20,Masculine Based,Give him the box!!,14,Edrian K
2024-09-20,OneXOneY,Trump’s got the real support from the people!,19,John
2024-09-21,Masculine Based,"They can do whatever they want, but they will never ruin the Elon and Trump tandem.",59,Edrian K
2024-09-21,Masculine Based,He's right. We can't afford 4 more years of Harris. 😂😂😂,12,Edrian K
2024-09-21,Masculine Based,He finally said the truth. We can't afford 4 more years of Harris! 😂,1,Edrian K
2024-09-21,Barefoot Pregnant,Looks like Kamala's become the poster child for what not to do in office!,31,Raine
2024-09-21,Barefoot Pregnant,Kamala supporters be like...,11,Raine
2024-09-21,OneXOneY,"Michelle’s got a new drink, but Trump’s the one who’s bringing the real refreshment ,  a strong economy and American pride!",16,Sheila
